epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,3163.71,1.65093,1.4933,1.07785,0.25706,0.13529,0.10134,0.06198,1.55959,1.61387,1.07384,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3202.47,1.67274,1.5191,1.07931,0.25408,0.13717,0.10199,0.06237,1.56072,1.60972,1.07563,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3240.97,1.66772,1.49006,1.08076,0.27433,0.13452,0.0996,0.06013,1.56108,1.6077,1.07489,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3279.57,1.65748,1.48014,1.07329,0.27961,0.14049,0.10407,0.06307,1.56061,1.60694,1.07647,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3318.12,1.65217,1.47759,1.07692,0.28324,0.13495,0.10318,0.0631,1.55813,1.60473,1.07613,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3356.65,1.63502,1.46946,1.07569,0.27927,0.13589,0.10284,0.06309,1.55599,1.60534,1.07423,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3395.39,1.63276,1.46435,1.0744,0.26913,0.14061,0.10247,0.06279,1.55782,1.60906,1.07609,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3433.64,1.63345,1.45565,1.07831,0.27082,0.13513,0.1015,0.06173,1.55781,1.60926,1.07593,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3472.6,1.65282,1.46709,1.07657,0.27861,0.13663,0.10226,0.06204,1.55782,1.60898,1.07446,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3510.9,1.63532,1.44559,1.07279,0.26426,0.13758,0.10159,0.06181,1.55843,1.61863,1.07452,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
